City,Day,DewPoint,FirstTeam,FirstToBat,Humidity,Month,Result,SecondTeam,Temp,Venue,WindSpeed,Winner,Year
1,3,12,1,1,55,12,0,2,21,1,1,0,2010
48,14,23,4,1,75,4,0,5,26,51,14,0,2007
62,6,19,1,1,82,12,0,6,23,66,3,1,2011
11,12,24,3,0,64,10,0,6,30,11,10,0,2014
48,26,23,7,1,77,2,0,2,27,51,24,0,2013
20,16,9,10,0,75,6,0,7,14,20,31,0,2012
20,28,13,10,1,78,8,0,5,16,20,11,1,2012
72,5,16,1,0,67,12,0,2,20,82,0,0,2006
7,14,14,5,1,65,2,0,10,21,7,14,0,2016
23,8,14,6,0,52,4,0,1,24,23,6,0,2008
14,5,21,11,0,83,2,2,12,24,14,16,0,2008
73,23,3,17,1,42,1,0,14,18,83,19,0,2014
11,29,18,6,0,51,10,0,5,28,11,8,1,2010
36,22,-7,2,0,7,8,0,5,18,37,10,1,2007
5,17,12,10,1,54,6,0,12,22,5,6,1,2006
1,25,15,4,0,32,3,0,5,29,1,5,0,2011
74,8,20,11,0,76,11,0,3,25,43,1,1,2009
13,15,22,1,1,71,4,0,13,27,13,19,1,2007
21,12,9,10,1,81,9,0,6,14,21,16,0,2010
1,5,11,11,0,73,1,0,12,16,1,3,1,2010
24,26,23,7,1,75,5,0,11,28,24,8,0,2006
37,8,14,4,0,61,2,0,3,20,38,7,0,2016
57,25,15,6,1,54,2,0,12,21,61,0,1,2014
10,14,6,4,0,70,2,0,12,12,10,16,0,2015
45,29,8,11,1,75,6,0,5,12,48,13,0,2007
27,5,8,10,0,72,9,0,5,14,28,12,1,2012
37,28,8,4,1,47,1,0,11,16,38,13,0,2014
19,18,24,12,1,78,6,0,6,28,40,15,0,2012
6,22,24,7,1,81,5,0,5,28,6,12,1,2010
53,4,11,10,1,82,7,0,7,15,57,19,1,2007
40,8,17,5,0,79,12,0,11,20,42,10,0,2013
17,31,15,13,1,96,7,0,18,14,17,22,0,2008
37,15,9,5,0,44,2,0,2,18,38,6,0,2015
53,2,10,10,0,71,9,0,11,16,57,7,1,2014
52,6,11,3,0,52,2,0,7,22,55,10,0,2013
54,9,14,4,1,70,2,0,10,20,58,28,0,2008
56,30,19,5,0,85,11,0,4,21,60,14,1,2007
5,8,12,10,1,76,9,0,11,16,5,7,0,2007
19,13,24,12,1,81,6,2,6,28,40,16,0,2012
56,21,16,5,0,76,1,0,11,20,60,20,0,2011
9,17,22,13,1,72,3,0,6,27,9,10,0,2007
70,5,17,11,1,55,11,0,3,24,80,8,1,2009
14,13,20,3,0,86,2,2,4,22,14,16,0,2009
53,9,3,10,0,64,6,0,4,10,57,13,0,2015
18,6,23,7,1,76,3,0,2,28,18,10,0,2010
5,20,11,10,1,68,9,0,6,18,5,19,1,2010
34,5,12,5,0,68,12,0,11,18,35,14,0,2013
19,29,23,12,0,83,8,0,11,28,40,11,0,2008
53,26,5,10,0,65,5,0,7,12,57,20,0,2009
59,15,11,11,0,37,12,0,12,22,63,5,0,2009
19,16,24,12,0,76,6,0,6,29,40,12,0,2012
25,20,23,7,1,74,3,1,3,26,25,19,0,2012
3,26,25,6,0,68,6,0,11,32,3,13,1,2008
43,31,24,7,0,71,7,0,1,28,45,22,1,2009
19,20,23,12,0,74,8,0,3,28,40,12,1,2011
23,13,10,6,0,38,4,0,1,28,23,9,0,2008
51,1,12,13,1,67,4,0,18,18,54,14,0,2009
70,14,20,11,0,57,10,0,10,28,80,4,0,2011
52,24,15,7,0,76,2,0,2,20,55,10,0,2015
15,16,22,10,0,72,3,0,4,26,15,10,1,2007
16,15,18,3,0,68,2,0,12,25,16,20,0,2008
44,20,12,4,0,75,2,0,10,16,46,7,1,2013
16,12,15,3,1,64,1,0,11,22,16,17,0,2016
16,28,11,11,1,47,2,0,8,24,16,19,0,2015
